regime,eta,nnz_mean,nnz_std,rel_l2_mean,rel_l2_std,tpr_mean,fpr_mean,exact_support_frac,vf_error_mean,vf_error_std
oracle,0.0001,10.6,1.3564659966250536,0.18689362129087597,0.37163822718393913,1.0,0.08125,0.2,0.36262341646010254,0.7238501388143519
oracle,0.001,10.2,1.8330302779823362,0.46896431337533784,0.795696957961836,1.0,0.06875,0.4,0.842944499982134,1.579390335282424
oracle,0.01,12.0,3.521363372331802,0.3952086957124892,0.19064927142992957,0.925,0.14375,0.0,0.36162844104510494,0.3218110580984729
oracle,0.1,12.2,1.1661903789690602,0.4703151996830153,0.016246254636885966,0.875,0.1625,0.0,0.447548843237905,0.26307789924607655
oracle,1.0,4.0,1.0954451150103321,1.0074245374071817,0.005240118119505647,0.125,0.09375,0.0,0.9624081919486722,0.017968813451163867
oracle,10.0,0.8,0.4,0.9351385426529177,0.03263546410782622,0.1,0.0,0.0,0.9904031460988951,0.004894791674669565
numerical_fd,0.0001,12.0,2.0,0.11662703308344605,0.20528159916208708,1.0,0.125,0.0,0.20293904097258383,0.38770198117616017
numerical_fd,0.001,10.4,1.2,0.026802753136944746,0.014907928798498959,1.0,0.075,0.2,0.030159400364990697,0.03284133298666698
numerical_fd,0.01,11.2,1.16619037896906,0.3459120210673889,0.13737713390300513,0.975,0.10625,0.0,0.34958961126776145,0.32155620609736124
numerical_fd,0.1,6.2,2.7129319932501073,0.6251312822295624,0.130244265691337,0.575,0.05,0.0,0.555065555205599,0.24959540486448056
numerical_fd,1.0,2.8,0.9797958971132712,1.078925954781588,0.10627311576893357,0.075,0.06875,0.0,0.9881224129358509,0.008746502693043291
numerical_fd,10.0,6.8,1.16619037896906,3.664656954409753,1.3996620061294798,0.025,0.20625,0.0,1.8417304031926265,0.577196474571357
sindy_sfd,0.0001,11.0,0.0,0.026440100576709303,0.0033011822246990542,1.0,0.09375,0.0,0.024115078191349545,0.015329451522174924
sindy_sfd,0.001,11.0,0.0,0.027254215035856212,0.004602459460084988,1.0,0.09375,0.0,0.02487223994502988,0.015801875971670085
sindy_sfd,0.01,11.4,0.7999999999999999,0.11155109370496126,0.15838926200231676,1.0,0.10625,0.0,0.0843801957450038,0.10667836384859658
sindy_sfd,0.1,2.6,0.4898979485566356,0.7110376250193773,0.055202745355604606,0.325,0.0,0.0,0.685140461147932,0.14928708440810642
sindy_sfd,1.0,3.8,0.39999999999999997,0.9422582066073539,0.041019996203303676,0.35,0.03125,0.0,0.778990557234254,0.10640360232315244
sindy_sfd,10.0,2.4,1.624807680927192,1.4355869931896201,0.40001430713666924,0.075,0.05625,0.0,1.058242968793485,0.07173919821556961
extended_lib_oracle,0.0001,40.4,6.3118935352238,180068809.58425617,250053085.21988884,1.0,0.18409090909090908,0.0,1.0949062771733904,2.1876868461683605
extended_lib_oracle,0.001,44.4,10.071742649611338,258918248.43501574,517836491.44567645,1.0,0.20681818181818185,0.0,2.4844555119600016,4.9310310895767095
extended_lib_oracle,0.01,39.8,10.552724766618335,10854505247.73687,19467961355.75224,0.9,0.1852272727272727,0.0,0.28500457014571573,0.34550862810649935
extended_lib_oracle,0.1,41.4,13.573503600765722,208889468636.96802,122422273570.74008,0.8,0.19886363636363638,0.0,0.3744322227904576,0.30200038587955186
extended_lib_oracle,1.0,20.8,4.915282290977803,255130426297.76544,326566071517.1926,0.4,0.1,0.0,0.9268892085142311,0.03633907254180883
extended_lib_oracle,10.0,7.4,4.841487374764082,0.9194962443491821,0.003825809805620084,0.125,0.03636363636363636,0.0,0.9902465411741718,0.004587150321977884
incomplete_lib_oracle,0.0001,12.4,1.624807680927192,0.47996047288827254,0.018001648544964617,1.0,0.18620689655172412,0.0,0.44375178912261415,0.2649513564460313
incomplete_lib_oracle,0.001,12.4,1.624807680927192,0.4799605021903809,0.017998928667371687,1.0,0.18620689655172412,0.0,0.4437517900520094,0.2649513560005811
incomplete_lib_oracle,0.01,11.6,3.006659275674582,0.49336380049643347,0.044753509687698693,0.9428571428571428,0.17241379310344826,0.0,0.4444955128372026,0.26643428378401207
incomplete_lib_oracle,0.1,12.0,1.2649110640673518,0.42111915246208687,0.01603079456622349,1.0,0.17241379310344826,0.0,0.4473751641057576,0.2631856273627165
incomplete_lib_oracle,1.0,4.4,1.2,1.0122114944252423,0.0022613417307350272,0.14285714285714285,0.11724137931034484,0.0,0.9619976952335751,0.01811256750644049
incomplete_lib_oracle,10.0,1.0,0.0,0.9146713059590746,0.0039114523049740176,0.14285714285714285,0.0,0.0,0.9902440868127961,0.004583366394232065
